review,rating,date,sentiment,clean_review
sangat cepat dan fast respon,5,2026-05-14 05:25:41,positif,cepat fast respon
sangat membantu,5,2026-05-14 05:25:02,positif,bantu
gratis biaya admin transfer,5,2026-05-14 05:23:29,positif,gratis biaya admin transfer
biasa terlalu mahal,1,2026-05-14 05:18:38,negatif,mahal
mana paylaternya,5,2026-05-14 05:14:15,positif,paylaternya
ok,5,2026-05-14 05:12:48,positif,ok
baik sekali,5,2026-05-14 05:10:22,positif,
bintang 4 dlu nanti klo lebih enak tambah lg,4,2026-05-14 05:07:33,positif,bintang dlu klo enak lg
"gampang,aman",5,2026-05-14 04:55:59,positif,gampangaman
"Gratis admin juga bisa byr tagihan lain, tapi knp FIF ga bisa..",5,2026-05-14 04:47:25,positif,gratis admin byr tagih knp fif ga
sangat mudah,5,2026-05-14 04:42:20,positif,mudah
keren,5,2026-05-14 04:38:27,positif,keren
"TF ke semua bank gratis,cepat,semua tak ada Kendala,pokonya mantap,terima kasih seabank sy sangat puas",5,2026-05-14 04:36:40,positif,tf bank gratiscepatsemua kendalapokonya mantapterima kasih seabank sy puas
bagusss🕊💐,5,2026-05-14 04:34:07,positif,bagusss
Alhamdulillah seabank bagus,5,2026-05-14 04:33:15,positif,alhamdulillah seabank bagus
gak jls,1,2026-05-14 04:32:08,negatif,gak jls
sangat bermanfaat sekali,5,2026-05-14 04:27:42,positif,manfaat
sangat membantu transaksi keuangan anda,5,2026-05-14 04:23:48,positif,bantu transaksi uang
sangat bagus,5,2026-05-14 04:21:48,positif,bagus
gratis admin dan proses cepat kadang ada maintenance tapi tidak jam kerja malam hari sangat bagus untuk pemilihan waktunya.,5,2026-05-14 04:13:42,positif,gratis admin proses cepat kadang maintenance jam kerja malam bagus pilih
transfer gratis,5,2026-05-14 04:10:33,positif,transfer gratis
tolong selesaikan pembukaan rekening saya di SEABANK dengan baik dan lancar,5,2026-05-14 04:08:19,positif,tolong selesai buka rekening seabank lancar
terbaik,5,2026-05-14 04:07:12,positif,baik
senang menggunakan SeaBank,5,2026-05-14 04:05:19,positif,senang seabank
mantap dan mudah di gunakan,5,2026-05-14 04:02:08,positif,mantap mudah
sangat mengasikan,5,2026-05-14 03:56:52,positif,asi
sangat mudah dan cepat digunakan untuk transaksi,5,2026-05-14 03:51:16,positif,mudah cepat transaksi
suka,5,2026-05-14 03:49:05,positif,suka
cukup mudah,5,2026-05-14 03:44:10,positif,mudah
mantappp,5,2026-05-14 03:43:59,positif,mantappp
mudah dan praktis,5,2026-05-14 03:42:10,positif,mudah praktis
Segala transaksi lebih mudah dan cepat,5,2026-05-14 03:38:06,positif,transaksi mudah cepat
Terbaik,5,2026-05-14 03:33:48,positif,baik
sngt bgus,5,2026-05-14 03:30:59,positif,sngt bgus
Bru pake aku kasi bintang 4 dulu,4,2026-05-14 03:24:40,positif,bru pake kasi bintang
sangat memuaskan,5,2026-05-14 03:22:29,positif,muas
"kenapa akhir2 ini aplikasinya sering lemot yaa, nge bug tiap kali dibuka",4,2026-05-14 03:21:00,positif,aplikasi lot yaa nge bug kali buka
Semoga transaksi gratis terus..,5,2026-05-14 03:15:31,positif,moga transaksi gratis
baguss,4,2026-05-14 03:12:03,positif,baguss
semngat dan praktis keren,5,2026-05-14 03:09:41,positif,semngat praktis keren
👍,5,2026-05-14 03:01:55,positif,
good jod,5,2026-05-14 02:57:19,positif,good jod
mantap aman dan terpercaya,5,2026-05-14 02:53:56,positif,mantap aman percaya
cepat...kalau bisa top up Dana jangan pake biaya admin yah😊,5,2026-05-14 02:50:40,positif,cepatkalau top up dana pake biaya admin yah
"bagus,cocok untuk metode pembayaran",5,2026-05-14 02:49:40,positif,baguscocok metode bayar
lancar top,5,2026-05-14 02:38:31,positif,lancar top
sea bank memang oke,5,2026-05-14 02:37:32,positif,sea bank oke
Lima jempol...,5,2026-05-14 02:28:50,positif,jempol
lebih simpel dan fitur nya lebih okelah,5,2026-05-14 02:26:25,positif,simpel fitur nya oke
Bagus,5,2026-05-14 02:25:23,positif,bagus
di permuda👍,5,2026-05-14 02:24:15,positif,muda
saya suka seabank mudah dan gratis transfernya 100x perbulan😍😍,5,2026-05-14 02:23:06,positif,suka seabank mudah gratis transfer x bulan
transaksi cepat dan bebas biaya admin,5,2026-05-14 02:18:31,positif,transaksi cepat bebas biaya admin
kode otp lama masukk sampah!!!,1,2026-05-14 02:14:56,negatif,kode otp masukk sampah
"katanya dapet bonus pas daftar, sampe skrg ga ada masuk saldonya nnti kalo sudah masuk saya tambah lg 🌟 nya",3,2026-05-14 02:00:25,netral,dapet bonus pas daftar sampe skrg ga masuk saldo nnti kalo masuk lg  nya
sangat bermanfaat,5,2026-05-14 01:51:16,positif,manfaat
keren dan proses transaksi cepat,2,2026-05-14 01:41:49,negatif,keren proses transaksi cepat
campaign promo tidak sesuai janji dan PHP. campaign banner masih ada di applikasi tapi ternyata kuota nya sudah habis. merasa dibohongi dengan campaign promo,1,2026-05-14 01:40:32,negatif,campaign promo sesuai janji php campaign banner applikasi kuota nya habis bohong campaign promo
oke,5,2026-05-14 01:37:27,positif,oke
sangat membatu,5,2026-05-14 01:27:47,positif,batu
mantapp,5,2026-05-14 01:21:41,positif,mantapp
sangat mudah dan aman👍,5,2026-05-14 01:20:55,positif,mudah aman
Bermanfaat,3,2026-05-14 01:19:24,netral,manfaat
mudah dan simpel,5,2026-05-14 01:19:20,positif,mudah simpel
sangat puas,5,2026-05-14 01:13:26,positif,puas
Bagus dan praktis,5,2026-05-14 01:12:44,positif,bagus praktis
cepat dan membantu,5,2026-05-14 01:07:22,positif,cepat bantu
jadi mudah transaksi,5,2026-05-14 01:02:45,positif,mudah transaksi
"tidak ada biaya admin, terimakasih",5,2026-05-14 00:59:13,positif,biaya admin terimakasih
"sangat puas,,",5,2026-05-14 00:53:41,positif,puas
baguss poll,5,2026-05-14 00:51:08,positif,baguss poll
bagus seklali,5,2026-05-14 00:45:13,positif,bagus seklali
OTP telat teros johh,1,2026-05-14 00:44:43,negatif,otp telat ros johh
tolong di update munculkan seabank pinjam nya,3,2026-05-14 00:36:02,netral,tolong update muncul seabank pinjam nya
cepat baik,4,2026-05-14 00:35:40,positif,cepat
puas,5,2026-05-14 00:28:25,positif,puas
"transfer bank gratis, dan bunga gila gilaaan 🫶🏻 Love sekebon",5,2026-05-14 00:23:46,positif,transfer bank gratis bunga gila gilaaan  love kebon
sangat membantu 👍,5,2026-05-14 00:18:19,positif,bantu 
this is amazing,5,2026-05-14 00:17:56,positif,this is amazing
sangat membantu sekali,5,2026-05-14 00:11:50,positif,bantu
bagus banget,5,2026-05-13 23:54:34,positif,bagus banget
mempermudah semua transaksi saya,5,2026-05-13 23:50:05,positif,mudah transaksi
mudah dan cepat,5,2026-05-13 23:44:42,positif,mudah cepat
sangat membantu dan memudahkan semua transaksi keuangan,5,2026-05-13 23:40:20,positif,bantu mudah transaksi uang
Good,5,2026-05-13 23:33:48,positif,good
"ternyata muda ya untuk byr tagihan spinjam dr seabank, kita taroh saldo tinggal byr deh ga perlu mesti k'alfa atau k'ATM, tinggal bayar kapan aja yg kita mau, trimakasih seabank, moga sukses selalu👍🙏😍",5,2026-05-13 23:29:24,positif,muda ya byr tagih spinjam dr seabank taroh saldo tinggal byr deh ga mesti kalfa katm tinggal bayar aja yg trimakasih seabank moga sukses selalu
sangat ok,5,2026-05-13 23:26:55,positif,ok
transaksi lebih hemat👍,5,2026-05-13 23:25:12,positif,transaksi hemat
trimakasih sangat membantu kami yg golongan menengahnya kebawah,5,2026-05-13 23:21:11,positif,trimakasih bantu yg golong tengah bawah
Gakada penyelesaian masalah akun gk bisa login. di oper²,1,2026-05-13 23:12:47,negatif,gakada selesai akun gk login oper
top sangat membantu,5,2026-05-13 23:11:28,positif,top bantu
cepat TF nya adminya juga murah,5,2026-05-13 23:08:28,positif,cepat tf nya adminya murah
"Aplikasinya mantap banget, cocok buat simpan uang, udah gitu ga ambil pajak, malahan untung 2,5% p.a",5,2026-05-13 23:05:54,positif,aplikasi mantap banget cocok simpan uang udah gitu ga ambil pajak untung pa
proses nya cepet dan enak kirim gratis,5,2026-05-13 22:38:56,positif,proses nya cepet enak kirim gratis
nyaman,5,2026-05-13 22:25:02,positif,nyaman
kelebihan seabank tranfer gratis,4,2026-05-13 22:23:05,positif,lebih seabank tranfer gratis
ko gabisa masuk ya,5,2026-05-13 22:17:42,positif,ko gabisa masuk ya
bagus banget gratis transfer kemana saja,4,2026-05-13 22:10:42,positif,bagus banget gratis transfer mana
terbaik_,5,2026-05-13 22:04:20,positif,baik
TOP,5,2026-05-13 22:02:11,positif,top
"bagus banget pindah total dari bank jadul,nabung makin semangat tdk ada admin,yg terpenting bunga gede bgt terbaik",5,2026-05-13 22:00:27,positif,bagus banget pindah total bank jadulnabung semangat tdk adminyg penting bunga gede bgt baik
Good bank,5,2026-05-13 21:38:11,positif,good bank
memudahkan segala transaksi,5,2026-05-13 21:26:27,positif,mudah transaksi
sangat baik untuk digunakan,5,2026-05-13 21:17:24,positif,
aplikasi nya simple bagus,5,2026-05-13 20:50:33,positif,aplikasi nya simple bagus
"aplikasi penyimpanan saldo yg sangat Bagus,perlindungan Hebat. cara mudah untuk bertransaksi ke bank manapun. seabank terus jaya dan Berikan pelayanan lebih baik lg dari hari ke hari.",5,2026-05-13 20:44:15,positif,aplikasi simpan saldo yg bagusperlindungan hebat mudah transaksi bank mana seabank jaya layan lg
sangat bagus dan cocok,5,2026-05-13 20:09:10,positif,bagus cocok
gimana caranya ne refund saldo seabank soalnya saldo saya tidak kembali padahal pengiriman gagal,2,2026-05-13 20:05:53,negatif,gimana ne refund saldo seabank saldo kirim gagal
"hebat bisa tr kemana, aja",5,2026-05-13 20:04:59,positif,hebat tr mana aja
sangat membantuh,5,2026-05-13 19:55:00,positif,membantuh
gud,5,2026-05-13 19:48:39,positif,gud
the best,5,2026-05-13 19:39:11,positif,the best
baru pake kita lihat selanjutnya,5,2026-05-13 19:21:50,positif,pake lihat
bagus si tapi sayang ga ada kartu debit masa iya si kalah sama bank sebelah,5,2026-05-13 18:26:57,positif,bagus si sayang ga kartu debit iya si kalah bank belah
mantaappppp...,5,2026-05-13 18:24:28,positif,mantaappppp
simpel...fast...flexibel,5,2026-05-13 18:23:46,positif,simpelfastflexibel
yang terbaik memang seabank,5,2026-05-13 18:18:14,positif,baik seabank
mudah digunakan,5,2026-05-13 18:14:56,positif,mudah
aplikasi mudah digunakan..,5,2026-05-13 18:12:42,positif,aplikasi mudah
memuaskan,5,2026-05-13 17:52:41,positif,muas
sngat oke,5,2026-05-13 17:47:50,positif,sngat oke
"Seabank terbaik lah pokoknya, tapi ada yg kurang nih Seabank pinjam di akun saya belum muncul, tapi gapapa saya kasih bintang 5. harapan saya sih Sesegera mungkin Seabank pinjam saya di munculin. Terimakasih",5,2026-05-13 17:41:40,positif,seabank baik pokok yg nih seabank pinjam akun muncul gapapa kasih bintang harap sih seabank pinjam munculin terimakasih
sangat efisien dan mudah dipakainya,5,2026-05-13 17:39:15,positif,efisien mudah pakai
"kenapa akun seabank ku terblokir,sedangkan tidak ad aktifitas mencurigakan",4,2026-05-13 17:37:14,positif,akun seabank ku terblokirsedangkan ad aktifitas curiga
Mantap sea,5,2026-05-13 17:27:33,positif,mantap sea
bagus transfer nya masih gratis. semoga makin luas makin sukses seabank kedepan nya,5,2026-05-13 17:25:32,positif,bagus transfer nya gratis moga luas sukses seabank depan nya
bnyk geratis admin,5,2026-05-13 17:16:00,positif,bnyk gerat admin
"sebanyak ini apk yang saya pakai, seabank lah yang paling the best 👍",5,2026-05-13 16:59:38,positif,apk pakai seabank the best 
mempermudah dalam transaksi,5,2026-05-13 16:56:56,positif,mudah transaksi
sangan mudah dan cepat,5,2026-05-13 16:48:32,positif,sangan mudah cepat
dipermudah... gratis ongkir dan gratis biaya tf,5,2026-05-13 16:43:53,positif,mudah gratis ongkir gratis biaya tf
Mau kirim aja Ribet,1,2026-05-13 16:30:59,negatif,kirim aja ribet
kenapa ngk bisa di tarik dan setiap mau ngirim ke DANA slalu gagal truss,1,2026-05-13 16:28:41,negatif,ngk tarik ngirim dana slalu gagal truss
"Saya sangat senang pake seabank, tidak ada kendala selama pake seabank, pokok nya,Bes banget",5,2026-05-13 16:25:48,positif,senang pake seabank kendala pake seabank pokok nyabes banget
sistem bekerja baik dan lancar mudah,5,2026-05-13 16:25:46,positif,sistem lancar mudah
kita coba dulu,5,2026-05-13 16:25:35,positif,coba
bank favorit saya,5,2026-05-13 16:25:22,positif,bank favorit
cukup membantu,5,2026-05-13 16:14:57,positif,bantu
seneng banget pakek seabank,5,2026-05-13 16:05:14,positif,neng banget pakek seabank
bagus dan cepat,5,2026-05-13 16:02:47,positif,bagus cepat
"Pokok e puas pakai seabank,transaksi lancar hitungan detik,,yg bikin jatuh cinta lagi tranfer ke semua bank gratiiss....",5,2026-05-13 16:01:23,positif,pokok e puas pakai seabanktransaksi lancar hitung detikyg bikin jatuh cinta tranfer bank gratiiss
mantapppppppp polll,5,2026-05-13 15:58:09,positif,mantapppppppp polll
"Tiba-tiba ada uang keluar 500ribu, komplen smpe 4 kali ganti cs tapi gak ada solusi nyata. masa harus buat laporan kepolisian dulu. saya butuh uang saya kembali, bukannya harus keluarkan uang lagi untuk laporan polisi",1,2026-05-13 15:55:55,negatif,tibatiba uang ribu komplen smpe kali ganti cs gak solusi nyata lapor polisi butuh uang keluar uang lapor polisi
"bagus,tapi biaya admin nya terlalu mahal",5,2026-05-13 15:51:49,positif,bagustapi biaya admin nya mahal
min ini kenapa seabank sy ga bisa login ya padahal pasword ny g sy ganti gmna dong gak bisa di buka,3,2026-05-13 15:45:58,netral,min seabank sy ga login ya pasword ny g sy ganti gmna gak buka
samgat membantu,4,2026-05-13 15:42:21,positif,samgat bantu
excellent 🥰,5,2026-05-13 15:38:52,positif,excellent 
ok baik,5,2026-05-13 15:37:07,positif,ok
ok mantap,5,2026-05-13 15:35:17,positif,ok mantap
"senang memakai seabank,biaya transfer ke bank lain gratis tanpa batas",5,2026-05-13 15:34:50,positif,senang pakai seabankbiaya transfer bank gratis batas
tanpa admin,5,2026-05-13 15:33:56,positif,admin
Kereeeen,5,2026-05-13 15:31:38,positif,kereeeen
"ALHAMDULILLAH, SAYA SENANG MENGGUNAKAN APLIKASI SEABANK, KARNA BERKAT BUNGA NYA BISA MEMBANTU KEBUTUHAN SAYA SEHARI-HARI, TERIMA KASIH BANYAK APLIKASI SEABANK,pokoknya mantap, keren dan The best....",5,2026-05-13 15:21:44,positif,alhamdulillah senang aplikasi seabank karna berkat bunga nya bantu butuh seharihari terima kasih aplikasi seabankpokoknya mantap keren the best
bagus cuma sering ada kendala kalo ngirim ke e walet,4,2026-05-13 15:21:40,positif,bagus kendala kalo ngirim e walet
sangat bagus lancar buat transaksi,5,2026-05-13 15:14:13,positif,bagus lancar transaksi
terlali banyak adminya,4,2026-05-13 15:09:52,positif,lali adminya
"susah, udah lama pake seabank tapi gaada fitur pinjaman",5,2026-05-13 15:08:18,positif,susah udah pake seabank gaada fitur pinjam
apk nya bagus ngak lelet bagus deh pokonya,5,2026-05-13 15:06:34,positif,apk nya bagus ngak lelet bagus deh poko
aman dan terpercaya,5,2026-05-13 15:05:28,positif,aman percaya
"seharusnya ini bintang 10,karena semua lancar tanpa macet sedikit pun😘😘😘apa lagi aplikasi ini memiliki pinjaman",5,2026-05-13 15:01:04,positif,bintang lancar macet pun apa aplikasi milik pinjam
kurang baik,2,2026-05-13 15:00:06,negatif,
baik dan membantu,5,2026-05-13 14:59:45,positif,bantu
"Saya kasih bintang 5,baru pake belum 1 bulan,blm ada masalah sih,mudah2 an aman uang saya di sini...💰💰💰",5,2026-05-13 14:57:46,positif,kasih bintang pake bulanblm sihmudah an aman uang sini
mantap aplikasih ini membantu buat orang yg gak punya rekening bank,5,2026-05-13 14:56:23,positif,mantap aplikasih bantu orang yg gak rekening bank
jos,3,2026-05-13 14:56:22,netral,jos
sangat suka,5,2026-05-13 14:56:15,positif,suka
sukaaa bangett jangan sampai bikin kecewa,5,2026-05-13 14:52:15,positif,sukaaa bangett bikin kecewa
sangat bgus,5,2026-05-13 14:44:01,positif,bgus
"terjamin,dan tidak banyak pitongan",5,2026-05-13 14:37:12,positif,terjamindan pitongan
sangat sangat membantu,5,2026-05-13 14:37:02,positif,bantu
"proses nya cepat, semoga apk ini aman sellu",5,2026-05-13 14:33:13,positif,proses nya cepat moga apk aman sellu
mantap 👍👍👍,5,2026-05-13 14:30:43,positif,mantap 
terbantu,5,2026-05-13 14:30:39,positif,bantu
"min ni kenapaa udh berapaa hari ini tidak bisa buka sea bank ,menunya tidak muncul ,jd mau lihat saldonya dll pun tdak bisa padahal ad duit saya d situ",5,2026-05-13 14:12:56,positif,min ni kenapaa udh berapaa buka sea bank menu muncul jd lihat saldo dll tdak ad duit d situ
cepat..praktis,5,2026-05-13 14:12:00,positif,cepatpraktis
oke jooossss,5,2026-05-13 14:10:13,positif,oke jooossss
goodjob,5,2026-05-13 14:07:29,positif,goodjob
mntap,5,2026-05-13 14:07:12,positif,mntap
gampang transfer nya,5,2026-05-13 14:02:49,positif,gampang transfer nya
SUKSES SLALU,5,2026-05-13 13:55:10,positif,sukses slalu
tf antar bank gratis,5,2026-05-13 13:51:34,positif,tf bank gratis
top lah,5,2026-05-13 13:50:53,positif,top
transaksi cepat,5,2026-05-13 13:49:39,positif,transaksi cepat
bagus bngt,5,2026-05-13 13:44:04,positif,bagus bngt
good lah pokonya,5,2026-05-13 13:39:24,positif,good poko
hebat,5,2026-05-13 13:37:42,positif,hebat
"terbaik ,👍👍👍👍",5,2026-05-13 13:26:19,positif,baik 
kl bs untuk top up jngn dikasih pilihan. kadang kita mau top up untuk bayar Shopee nanggung,5,2026-05-13 13:25:23,positif,kl bs top up jngn kasih pilih kadang top up bayar shopee nanggung
"sangat puas menggunakan seabank,",5,2026-05-13 13:23:24,positif,puas seabank
bagus terekomondasi,5,2026-05-13 13:21:56,positif,bagus terekomondasi
bagus👍👍,5,2026-05-13 13:20:40,positif,bagus
semoga aman selalu 🤗,5,2026-05-13 13:15:15,positif,moga aman 
cukup puas,5,2026-05-13 13:14:50,positif,puas
"mantaap dan mudah di gunakan, hanya saja sedikit kecewa sama kebohongan yang iming iming sldo gratis 200000 yg gak kunjung datang... knapa sih harus cara berbohong seperti itu??",4,2026-05-13 13:14:05,positif,mantaap mudah kecewa bohong iming iming sldo gratis yg gak kunjung knapa sih bohong
👍👍👍👍,5,2026-05-13 13:12:07,positif,
cepat dan praktis.,5,2026-05-13 13:11:49,positif,cepat praktis
bagus saya sukaaa cumn klo jaringan leg suruh verifikasi wajah,5,2026-05-13 13:09:15,positif,bagus sukaaa cumn klo jaring leg suruh verifikasi wajah
BAGUS BANGETT SUKAAAA!!!!,5,2026-05-13 13:06:50,positif,bagus bangett sukaaaa
sangat mudah di mengerti,4,2026-05-13 12:57:08,positif,mudah erti
terimakasih seabank sudah mempermudah saya untuk bertransaksi menu lengkap tur murah smoga lebih sukses,5,2026-05-13 12:49:27,positif,terimakasih seabank mudah transaksi menu lengkap tur murah smoga sukses
❤❤❤❤ untuk apk satu ini,5,2026-05-13 12:44:16,positif, apk
CS BAIK,5,2026-05-13 12:42:05,positif,cs
bagus tanpa admin cukup merakyat,5,2026-05-13 12:34:58,positif,bagus admin rakyat
sangat cepat dan terpercaya,5,2026-05-13 12:31:13,positif,cepat percaya
bisa di percaya,5,2026-05-13 12:28:58,positif,percaya
aku suka banget pakai seabank,5,2026-05-13 12:27:55,positif,suka banget pakai seabank
bagus dan akurat,5,2026-05-13 12:25:40,positif,bagus akurat
sangat baik dan cepat,5,2026-05-13 12:22:35,positif,cepat
bagus adminnya hanya 400 rupia,4,2026-05-13 12:19:58,positif,bagus adminnya rupia
🙏🫶,5,2026-05-13 12:17:55,positif,
hemat,5,2026-05-13 12:14:58,positif,hemat
bagus instan,5,2026-05-13 12:14:09,positif,bagus instan
lumayan membantu,4,2026-05-13 12:11:22,positif,lumayan bantu
ini gimana si kok ktp saya udah krdaftar padahal saya baru donlod apknya,1,2026-05-13 12:08:12,negatif,gimana si ktp udah krdaftar donlod apknya
mantap semoga semakin sukses🥰🥰,5,2026-05-13 12:06:33,positif,mantap moga sukses
terbaik pokoknya,5,2026-05-13 11:59:23,positif,baik pokok
lancar,5,2026-05-13 11:48:44,positif,lancar
sgat membantu dn sya bangga,5,2026-05-13 11:47:43,positif,sgat bantu dn sya bangga
tingkatkan terus pelayananya semakin baik lagi dari yang sekarang.,5,2026-05-13 11:46:35,positif,tingkat pelayananya
sangat puas sekali,5,2026-05-13 11:44:39,positif,puas
jadi terbantu masalah keuangan saya,5,2026-05-13 11:42:14,positif,bantu uang
seabank is the best👍🏼,5,2026-05-13 11:41:49,positif,seabank is the best
mantap gercep,5,2026-05-13 11:41:15,positif,mantap gercep
setiap suruh masukan nomor hp mau minta kode otp tapi gak masuk masuk pesan SMS,1,2026-05-13 11:38:31,negatif,suruh masuk nomor hp kode otp gak masuk masuk pesan sms
top Markotop,5,2026-05-13 11:37:49,positif,top markotop
Senang menggunakan Seabank,5,2026-05-13 11:36:37,positif,senang seabank
cukup baik,5,2026-05-13 11:34:12,positif,
bgus JD gmpang,5,2026-05-13 11:25:40,positif,bgus jd gmpang
mantap seabank gak ada admin ke semua bank,5,2026-05-13 11:19:01,positif,mantap seabank gak admin bank
good app,5,2026-05-13 11:18:43,positif,good app
terimakasih sea bank,5,2026-05-13 11:17:36,positif,terimakasih sea bank
Sangat senang hati,5,2026-05-13 11:16:50,positif,senang hati
senang sekali menggunakan seabank,5,2026-05-13 11:16:18,positif,senang seabank
mantap TDK ada biaya admin,5,2026-05-13 11:15:57,positif,mantap tdk biaya admin
LEMOTTT,1,2026-05-13 11:08:27,negatif,lemottt
"cepat , pengertian, joss membantu banget pokoknya SeaBank 👍🏻",5,2026-05-13 11:08:16,positif,cepat erti joss bantu banget pokok seabank 
simpel juga yah,5,2026-05-13 11:06:17,positif,simpel yah
bagus bang,5,2026-05-13 11:06:16,positif,bagus bang
smoga lancar terus mantap,5,2026-05-13 11:04:10,positif,smoga lancar mantap
Alhamdulillah mudah,5,2026-05-13 11:02:44,positif,alhamdulillah mudah
"jaringan saya bagus, kendala masuk yg ada cuma putih semua, apk gak jelas",1,2026-05-13 11:01:59,negatif,jaring bagus kendala masuk yg putih apk gak
bagus bgt,5,2026-05-13 10:58:41,positif,bagus bgt
pelayanan bagus saya suka,3,2026-05-13 10:58:38,netral,layan bagus suka
seneng suka dpt bunga dri seabank,5,2026-05-13 10:53:55,positif,neng suka dpt bunga dri seabank
layanan sangat membantu dan memuaskan,5,2026-05-13 10:52:25,positif,layan bantu muas
banknya masih ok,5,2026-05-13 10:42:50,positif,bank ok
Mantap,5,2026-05-13 10:42:14,positif,mantap
senang,5,2026-05-13 10:31:43,positif,senang
aplikasi nya sangat berguna,5,2026-05-13 10:28:07,positif,aplikasi nya guna
jos pokok nya deh,5,2026-05-13 10:22:45,positif,jos pokok nya deh
"mudah, murah... tanpa biaya admin",5,2026-05-13 10:16:01,positif,mudah murah biaya admin
jembot,1,2026-05-13 10:11:52,negatif,jembot
senang dan baik,5,2026-05-13 10:10:31,positif,senang
alhamdulilah sangat bagud,5,2026-05-13 10:09:44,positif,alhamdulilah bagud
sangat simple ran membantu,5,2026-05-13 10:05:58,positif,simple ran bantu
sangat puas dengan pelayanannya kirim uang gratis,5,2026-05-13 10:03:10,positif,puas layan kirim uang gratis
sangat bagus tpi pinjemanya tidak keluar2,3,2026-05-13 10:00:29,netral,bagus tpi pinjemanya
mantap semua serba gratis,5,2026-05-13 09:53:49,positif,mantap serba gratis
sudah jadi favorit saya,5,2026-05-13 09:53:01,positif,favorit
sangat2 bauk,5,2026-05-13 09:51:44,positif,bauk
nice,5,2026-05-13 09:47:36,positif,nice
"bagus tapi untuk sea bank pinjaman blm muncul pdhal aktif dalam bertransaksi, tolong pilih saya menjadi nasabah terpilih seapinjam",5,2026-05-13 09:43:30,positif,bagus sea bank pinjam blm muncul pdhal aktif transaksi tolong pilih nasabah pilih seapinjam
tolong perbaiki saya masuk. ga bisa,5,2026-05-13 09:42:39,positif,tolong baik masuk ga
mudah cepet,5,2026-05-13 09:40:59,positif,mudah cepet
suka sama seabank semoga kedepannya lebih puas y,5,2026-05-13 09:40:36,positif,suka seabank moga depan puas y
menyenang kan dan aman,5,2026-05-13 09:34:16,positif,senang aman
sangatembantu,5,2026-05-13 09:32:13,positif,sangatembantu
